part_id,pct_time_bedroom_night,pct_time_bathroom_night,pct_time_outdoor,pct_time_kitchen,room_changes_night,room_changes_total
3140,0.0,0.0,10.69,51.86,15,216
3141,0.32,0.05,5.99,27.96,47,969
3142,0.05,0.4,22.08,9.38,33,1434
3515,0.0,0.0,31.38,13.92,7,92
3517,0.0,0.0,16.44,26.17,4,103
3524,0.89,0.93,25.8,12.01,18,77
3527,0.0,0.0,32.35,2.73,7,99
3545,0.66,0.0,14.27,45.73,24,162
3546,0.0,0.0,17.49,8.83,15,157
3549,0.0,0.0,13.88,5.84,0,35
3559,0.0,0.0,7.72,17.34,3,95
3571,0.0,0.0,19.99,29.01,17,261
3578,0.0,0.0,0.0,0.0,0,1
3592,0.0,0.0,0.0,0.09,0,5
3593,0.0,0.0,0.03,34.62,3,84
3594,3.27,0.0,13.49,6.88,14,330
3600,0.04,0.0,7.93,53.19,852,1690
3601,0.0,0.0,22.84,3.87,0,179
3611,0.12,0.0,20.47,29.05,12,353
